city;year;people;air_general_level;net_salary;Avg_Age;ILM;birth;crimes;criminals;death;pens;preschool_child;length_of_roads;energy_consumption;Migration_Net;Housing_Stock;wage;workers;poverty level;housing price
Краснодар;2015;829677.0;1;33075;39.88;9965;16.9;16157;5673;11.3;248.2;59.5;433.6;221.5;18987.0;24.9;38459.2;287.0;;40960.21
Краснокаменск;2015;53385.0;1;0;35.65;0;0.0;0;0;0.0;0.0;0.0;346.6;165.1;;21.5;0.0;0.0;;42348.19
Красноперекопск;2015;26394.0;3;0;40.78;0;0.0;0;0;0.0;0.0;0.0;539.4;167.4;;24.1;0.0;0.0;;
Краснотурьинск;2015;60119.0;3;0;39.41;0;0.0;0;0;0.0;0.0;0.0;162.6;181.8;;23.6;0.0;0.0;;59277.1
Красноярск;2015;1052218.0;3;34118;38.0;11291;15.4;25182;8025;10.3;264.3;48.6;458.8;216.6;9362.0;14.4;39671.9;293.1;;55976.87
Кувандык;2015;25363.0;1;0;38.9;0;0.0;0;0;0.0;0.0;0.0;334.6;197.8;;25.2;0.0;0.0;;39777.81
Култук;2015;3874.0;-9;0;37.24;0;0.0;0;0;0.0;0.0;0.0;233.8;206.5;;20.3;0.0;0.0;;43474.8
Курган;2015;325309.0;3;23724;40.7;9632;14.8;10782;3568;13.9;107.5;18.2;501.2;182.5;-1388.0;23.8;27585.8;95.9;;
Курск;2015;435197.0;2;22712;41.53;8732;12.9;5296;2479;12.5;153.4;20.4;264.6;184.9;7922.0;26.0;26409.3;119.2;;
Кызыл;2015;116015.0;4;33049;29.32;10057;24.6;3537;1423;8.1;25.8;6.6;484.5;187.0;-214.0;14.3;38429.1;33.6;;
Кяхта;2015;10523.0;1;0;35.31;0;0.0;0;0;0.0;0.0;0.0;361.2;162.4;;20.6;0.0;0.0;;
Лесосибирск;2015;60758.0;3;0;38.0;0;0.0;0;0;0.0;0.0;0.0;165.8;175.2;;23.6;0.0;0.0;;55976.87
Липецк;2015;510152.0;1;27318;41.39;8900;12.6;6511;2542;12.8;164.0;27.3;438.9;152.3;-15.0;26.4;31764.7;146.7;;
Листвянка;2015;2105.0;1;0;37.24;0;0.0;0;0;0.0;0.0;0.0;241.7;166.4;;23.8;0.0;0.0;;43474.8
